verse,topic
"For God so loved the world that He gave His only Son",love
"Love your neighbor as yourself",love
"Greater love has no one than this: to lay down one’s life for one’s friends",love
"We love because He first loved us",love
"Let all that you do be done in love",love
"Above all, love each other deeply",love
"And now these three remain: faith, hope and love. But the greatest of these is love",love
"Whoever does not love does not know God, because God is love",love
"Love must be sincere. Hate what is evil; cling to what is good",love
"Be completely humble and gentle; be patient, bearing with one another in love",love
"Now faith is the substance of things hoped for",faith
"Without faith it is impossible to please God",faith
"Your faith has made you well",faith
"The just shall live by faith",faith
"We walk by faith and not by sight",faith
"Faith comes from hearing, and hearing through the word of Christ",faith
"Let us hold unswervingly to the hope we profess, for he who promised is faithful",faith
"I have fought the good fight, I have finished the race, I have kept the faith",faith
"If you have faith as small as a mustard seed...",faith
"Have faith in God",faith
"The Lord is my strength and my shield",strength
"The joy of the Lord is your strength",strength
"I can do all things through Christ who strengthens me",strength
"He gives strength to the weary",strength
"The Lord gives strength to his people",strength
"God is our refuge and strength",strength
"Be strong in the Lord and in his mighty power",strength
"My grace is sufficient for you, for my power is made perfect in weakness",strength
"The Lord upholds all who fall and lifts up all who are bowed down",strength
"I will strengthen you and help you",strength
"Peace I leave with you; my peace I give you",peace
"Be still and know that I am God",peace
"The peace of God will guard your hearts",peace
"You will keep in perfect peace those whose minds are steadfast",peace
"Let the peace of Christ rule in your hearts",peace
"Blessed are the peacemakers",peace
"In peace I will lie down and sleep",peace
"The fruit of the Spirit is... peace",peace
"Live in peace with one another",peace
"Turn from evil and do good; seek peace and pursue it",peace
"Do not fear, for I am with you",courage
"Be strong and courageous",courage
"The Lord is with me; I will not be afraid",courage
"The Lord is my light and my salvation—whom shall I fear?",courage
"When I am afraid, I put my trust in you",courage
"Take courage! It is I. Don’t be afraid",courage
"The Lord will fight for you; you need only to be still",courage
"I sought the Lord, and he answered me; he delivered me from all my fears",courage
"Do not be afraid or discouraged",courage
"Wait for the Lord; be strong and take heart",courage
"The Lord is my shepherd; I shall not want",comfort
"Come to me, all who are weary and burdened, and I will give you rest",comfort
"He leads me beside still waters",comfort
"He heals the brokenhearted",comfort
"The Lord is close to the brokenhearted",comfort
"Even though I walk through the valley of the shadow of death",comfort
"Cast all your anxiety on Him because He cares for you",comfort
"Under His wings you will find refuge",comfort
"My presence will go with you, and I will give you rest",comfort
"As a mother comforts her child, so will I comfort you",comfort
"Your word is a lamp to my feet and a light to my path",truth
"Sanctify them by the truth; your word is truth",truth
"You will know the truth, and the truth will set you free",truth
"The sum of your word is truth",truth
"Teach me your way, O Lord, that I may walk in your truth",truth
"Every word of God proves true",truth
"Lead me in your truth and teach me",truth
"Buy the truth and do not sell it",truth
"Guide me in your truth and teach me",truth
"Jesus answered, 'I am the way, the truth, and the life'",truth
